Name,J1,J2,J3,J4,J5,J16,J20,J13,J10,J7,J24,J25,J26,J27,J28,J42,J38,J35,J32,J29,J46,J47,Delay
move10,0,41,-28,16,-49,0,0,0,62,67,0,0,28,0,66,11,12,62,61,61,0,-44,1
move10,0,41,27,16,-49,0,0,0,62,67,0,0,28,0,66,11,12,62,61,61,0,-44,1
move10,0,41,27,40,-49,0,0,0,62,67,0,0,28,0,66,11,12,62,61,61,0,-44,1
move10,0,41,27,40,38,0,0,0,62,67,0,0,28,0,66,11,12,62,61,61,0,-44,1
move10,0,41,27,0,38,13,13,76,71,75,0,0,28,0,66,3,12,62,61,61,23,11,1
move10,0,41,27,0,38,13,13,76,71,75,0,0,28,0,66,3,12,62,61,61,23,-33,1
move10,0,41,27,0,38,13,13,76,71,75,0,0,28,0,66,3,12,62,61,61,23,46,1
move10,0,41,27,0,38,13,13,76,71,75,0,0,28,0,66,3,12,62,61,61,23,-32,1
move10,0,41,27,0,38,13,13,76,71,16,0,0,28,0,66,3,12,62,61,61,23,-32,1
move10,0,41,27,0,-39,13,13,76,71,16,0,0,28,0,66,3,12,62,61,61,23,-32,1
move10,0,41,-31,0,42,13,13,76,71,16,0,0,28,0,66,3,12,62,61,61,23,-32,1
move10,0,41,-31,0,42,13,13,76,71,16,0,0,28,0,66,3,12,62,61,61,23,-32,1
move10,0,41,-31,0,-33,13,13,76,71,16,0,0,28,0,66,3,12,62,61,61,23,-32,1
move10,0,41,-31,0,-33,1,1,66,71,16,0,0,28,0,66,3,12,62,61,61,23,0,3
move10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
