Name,J1,J2,J3,J4,J5,J16,J20,J13,J10,J7,J24,J25,J26,J27,J28,J42,J38,J35,J32,J29,J46,J47,Delay
move9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
move9,57,56,20,88,3,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,0,1
move9,57,56,20,88,3,17,17,88,87,79,58,0,35,59,36,18,0,0,0,0,0,0,1
move9,57,56,20,88,3,17,17,88,87,79,58,0,35,59,36,18,45,45,45,45,45,-57,1
move9,57,56,20,88,3,17,17,88,87,79,58,0,35,59,36,18,0,0,0,0,0,-57,1
move9,0,56,20,88,3,17,17,88,87,79,58,61,35,59,36,18,45,45,45,45,45,-57,1
move9,0,56,20,88,3,17,17,88,87,79,58,61,-34,59,36,18,0,0,0,0,0,-1,1
move9,0,0,20,88,3,17,17,88,87,79,0,61,-34,59,36,18,45,45,45,45,45,-1,1
move9,0,0,20,88,3,17,17,88,87,79,0,0,-34,59,36,18,90,90,90,90,90,-1,1
move9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
