Name,J1,J2,J3,J4,J5,J16,J20,J13,J10,J7,J24,J25,J26,J27,J28,J42,J38,J35,J32,J29,J46,J47,Delay
move8,0,89,33,0,-67,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1
move8,0,89,33,0,-67,0,0,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1
move8,0,89,33,0,-67,0,18,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1
move8,0,89,33,0,-67,18,18,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1
move8,43,88,33,65,-9,18,18,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1
move8,43,88,33,0,-9,18,18,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1
move8,0,88,33,0,-9,18,18,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1
move8,0,0,33,0,-9,18,18,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1
move8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,
