J1 ,J2,J3,J4,J5,J7,J10,J13,J16,J20,J24,J25,J26,J27,J28,J29,J32,J35,J38,J42,J46,J47
0,46,-76,90,-15,-20,13,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0,23,-76,90,-15,-20,13,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0
