J1 ,J2,J3,J4,J5,J7,J10,J13,J16,J20,J24,J25,J26,J27,J28,J29,J32,J35,J38,J42,J46,J47
0,74,-27,61,-55,90,90,90,17,17,5,45,62,65,80,90,90,90,17,17,0,0
0,86,-27,61,-55,90,90,90,17,17,5,45,62,65,80,90,90,90,17,17,0,0
0,74,-27,61,-55,90,90,90,17,17,5,45,62,65,80,90,90,90,17,17,0,0
