J1 ,J2,J3,J4,J5,J7,J10,J13,J16,J20,J24,J25,J26,J27,J28,J29,J32,J35,J38,J42,J46,J47
0,23,-90,90,-15,49,57,57,11,11,0,32,66,80,5,49,64,64,11,11,0,0
0,23,-66,90,-15,49,57,57,11,11,5,32,66,80,5,49,64,64,11,11,0,0
