Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_index_J32,-0.000885765449923803,0.0181923325649633,0.00424999037991276,0,0,0,0.00464663267119149,3.43446591970146E-07,3.61136627501463E-09,1.45754936161765E-10,2.1987146159152E-07,-1.31674951459423E-12,2.98903867414834E-07,0,0,0,0,0,0,package://zetax/meshes/left_index_J32.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_index_J32.STL,,LEFT HAND-1/parmak index 3 montajL1-1/Parmak index3-4-1;LEFT HAND-1/parmak index 3 montajL1-1/Parmak index3-3-1,Orign_J32,Axis_J32,J32,revolute,-0.000499999999999973,0.0394980536523552,0.120903840169765,1.47393402484139,0,0,left_wrist_J28,0,0,1,0,0,0,1.57,,,,,,,,
left_index_J33,-0.00112480046063443,0.01085031199292,-0.00424950502456562,0,0,0,0.00296941989314023,1.11378077675951E-07,-6.59571300984243E-09,3.54650309127025E-12,9.2409169179815E-08,4.42494493324929E-12,1.09028794172596E-07,0,0,0,0,0,0,package://zetax/meshes/left_index_J33.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_index_J33.STL,,LEFT HAND-1/parmak index 3 montajL1-1/Parmak index3-6-1;LEFT HAND-1/parmak index 3 montajL1-1/Parmak index3-5-1,Orign_J33,Axis_J33,J33,revolute,-0.00140054427447031,0.0358,0,-3.14159265358979,0,3.14159265358979,left_index_J32,0,0,1,0,0,0,0,,,,,,,,
left_index_J34,0.000415446762557725,0.0114626819413309,-0.00425157570342784,0,0,0,0.00245836245787869,8.02415834864142E-08,-6.59249255397104E-09,-3.07378610737094E-11,6.18423943807246E-08,-3.08219508070329E-11,8.42618513677087E-08,0,0,0,0,0,0,package://zetax/meshes/left_index_J34.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_index_J34.STL,,LEFT HAND-1/parmak index 3 montajL1-1/Parmak ucu index3-1;LEFT HAND-1/parmak index 3 montajL1-1/Parmak index3-2-1,Orign_J34,Axis_J34,J34,revolute,-0.00150000000000008,0.023,0,0,0,0,left_index_J33,0,0,1,0,0,0,0,,,,,,,,
left_middle_J35,-0.000934483755357485,0.0191929098670874,0.00342873504525023,0,0,0,0.00545626794340784,4.48870958849462E-07,4.71991109294057E-09,1.90753405693071E-10,2.87363163162531E-07,-1.67672644515456E-12,3.90655320254193E-07,0,0,0,0,0,0,package://zetax/meshes/left_middle_J35.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_middle_J35.STL,,LEFT HAND-1/majeur-1/majeur3-4-1;LEFT HAND-1/majeur-1/majeur3-3-1,Orign_J35,Axis_J35,J35,revolute,0.000500000000000056,0.0117853674941978,0.12573636472946,1.54697555534349,0,0,left_wrist_J28,0,0,1,0,0,0,1.57,,,,,,,,
left_middle_J36,-0.00118665691835254,0.0114470870553567,-0.00342831490792655,0,0,0,0.0034868115110658,1.45566368145606E-07,-8.62030555929445E-09,4.90870967451851E-12,1.20774899493003E-07,6.82588319977854E-12,1.42496244053076E-07,0,0,0,0,0,0,package://zetax/meshes/left_middle_J36.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_middle_J36.STL,,LEFT HAND-1/majeur-1/majeur3-5-1;LEFT HAND-1/majeur-1/majeur3-6-1,Orign_J36,Axis_J36,J36,revolute,-0.00147757420956623,0.0377689999999999,0,3.14159265358979,0,-3.14159265358979,left_middle_J35,0,0,1,0,0,0,0,,,,,,,,
left_middle_J37,0.000438295033802494,0.0120931313817823,-0.00343041176040154,0,0,0,0.0028867105788087,1.04872547967491E-07,-8.6160991022012E-09,-4.01654046533511E-11,8.08255068019359E-08,-4.02694618159568E-11,1.10126871303978E-07,0,0,0,0,0,0,package://zetax/meshes/left_middle_J37.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_middle_J37.STL,,LEFT HAND-1/majeur-1/Paramak ucu majeur3-1;LEFT HAND-1/majeur-1/majeur3-2-1,Orign_J37,Axis_J37,J37,revolute,-0.00158250000000001,0.024265,0,0,0,0,left_middle_J36,0,0,1,0,0,0,0,,,,,,,,
left_ring_J38,9.12881251669551E-05,0.0177155889737994,-0.00225754982367157,0,0,0,0.0133046354671802,2.52595640779639E-06,-2.44240376458657E-08,2.10118297569615E-08,1.25628686182119E-06,5.24431904651178E-07,1.92184572573527E-06,0,0,0,0,0,0,package://zetax/meshes/left_ring_J38.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_ring_J38.STL,,LEFT HAND-1/WristsmallV31L-1,Orign_J38,Axis_J38,J38,revolute,0,-0.00509139977148831,0.0798551911005397,2.45248970858413,0,0,left_wrist_J28,0,0,1,0,0,0,0.3,,,,,,,,
left_ring_J39,-0.000598578601251454,-0.0182040381703557,-0.00424997506193665,0,0,0,0.00464663430459442,3.43531119459082E-07,-1.66024936439166E-09,-1.46369638380522E-10,2.19788189716026E-07,-3.10032682951777E-12,2.98904653320714E-07,0,0,0,0,0,0,package://zetax/meshes/left_ring_J39.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_ring_J39.STL,,LEFT HAND-1/parmak index 3 montajL1-2/Parmak index3-4-1;LEFT HAND-1/parmak index 3 montajL1-2/Parmak index3-3-1,Orign_J39,Axis_J39,J39,revolute,0.000300000000000022,0.0346017819984782,-0.0200869842235681,2.3454052782576,0,0,left_ring_J38,0,0,-1,0,0,0,0,,,,,,,,
left_ring_J40,0.00129586448134292,-0.010831217561988,-0.00424969953385764,0,0,0,0.00296941919084,1.1158144624313E-07,-6.29327298143975E-09,-3.96444957041505E-12,9.22057737970092E-08,-6.30471508118228E-12,1.09028862760786E-07,0,0,0,0,0,0,package://zetax/meshes/left_ring_J40.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_ring_J40.STL,,LEFT HAND-1/parmak index 3 montajL1-2/Parmak index3-6-1;LEFT HAND-1/parmak index 3 montajL1-2/Parmak index3-5-1,Orign_J40,Axis_J40,J40,revolute,-0.00083546011251015,-0.03581764272904,0,0,0,0,left_ring_J39,0,0,1,0,0,0,0,,,,,,,,
left_ring_J41,-0.000234514601606145,-0.0114677610994188,-0.00425157383913447,0,0,0,0.00245835766242262,8.04443226991858E-08,-6.29891086608242E-09,3.02866414657878E-11,6.16390081580507E-08,3.13137411318197E-11,8.42611641105566E-08,0,0,0,0,0,0,package://zetax/meshes/left_ring_J41.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_ring_J41.STL,,LEFT HAND-1/parmak index 3 montajL1-2/Parmak ucu index3-1;LEFT HAND-1/parmak index 3 montajL1-2/Parmak index3-2-1,Orign_J41,Axis_J41,J41,revolute,0.00186274410972295,-0.0229734669647769,0,0,0,0,left_ring_J40,0,0,1,0,0,0,0,,,,,,,,
left_little_J42,5.57601754879733E-05,0.0206404513348552,-0.00516910697804673,0,0,0,0.0179559453538315,4.62597621783889E-06,-3.48512485823296E-08,1.46364935873009E-08,2.14739429140033E-06,1.30881552604496E-06,3.35349486108658E-06,0,0,0,0,0,0,package://zetax/meshes/left_little_J42.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_little_J42.STL,,LEFT HAND-1/Auriculaire3 montajL-1/WristsmallV32L-1,Orign_J42,Axis_J38,J42,revolute,0,-0.0245669987447054,0.0562148526643474,2.45248970858413,0,0,left_wrist_J28,0,0,1,0,0,0,0.3,,,,,,,,
left_little_J43,-0.000738287937155496,-0.0151633112560695,0.00354239702706284,0,0,0,0.00269063743360923,1.38161686292443E-07,-1.45279930256721E-09,-5.89391815960085E-11,8.84498259540602E-08,-4.9309021345745E-13,1.2024287228934E-07,0,0,0,0,0,0,package://zetax/meshes/left_little_J43.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_little_J43.STL,,LEFT HAND-1/Auriculaire3 montajL-1/Auriculaire3-4-1;LEFT HAND-1/Auriculaire3 montajL-1/Auriculaire3-3-1,Orign_J43,Axis_J43,J43,revolute,-0.000299999999999995,0.0497737275956689,-0.0196177359976469,2.5138228945981,0,0,left_little_J42,0,0,-1,0,0,0,0,,,,,,,,
left_little_J44,0.000937561348390487,-0.00904366058604783,0.00354287922771984,0,0,0,0.00171949606742309,4.48125534949881E-08,-2.65327828198805E-09,-2.25347798946083E-12,3.71753080424733E-08,-1.13081502448246E-12,4.38545421840034E-08,0,0,0,0,0,0,package://zetax/meshes/left_little_J44.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/left_little_J44.STL,,LEFT HAND-1/Auriculaire3 montajL-1/Auriculaire3-5-1;LEFT HAND-1/Auriculaire3 montajL-1/Auriculaire3-6-1,Orign_J44,Axis_J44,J44,revolute,-0.00116735365277101,-0.0298393,0,0,0,0,left_little_J43,0,0,1,0,0,0,0,,,,,,,,
left_little_J45,-0.00034627,-0.009554,0.0035411,0,0,0,0.0014235,3.2279E-08,-2.6521E-09,1.2404E-11,2.4878E-08,1.2445E-11,3.3896E-08,0,0,0,0,0,0,package://zetax/meshes/left_little_J45.STL,0.82745,0.83922,0.82745,1,0,0,0,0,0,0,package://zetax/meshes/left_little_J45.STL,,LEFT HAND-1/Auriculaire3 montajL-1/Auriculaire3-2-1;LEFT HAND-1/Auriculaire3 montajL-1/Paramak ucu Auriculaire3-1,Orign_J45,Axis_J45,J45,revolute,0.00125025000000001,-0.0191705,0,0,0,0,left_little_J44,0,0,1,0,0,0,0,,,,,,,,
head_up_down_J46,-0.011492,0.020219,1.9709E-05,0,0,0,0.078731,6.175E-05,-3.7225E-06,-9.5696E-10,4.3027E-05,4.3182E-08,3.5003E-05,0,0,0,0,0,0,package://zetax/meshes/head_up_down_J46.STL,1,1,1,1,0,0,0,0,0,0,package://zetax/meshes/head_up_down_J46.STL,,neak-1/NeckHingeV2-1,Orign_J46,Axis_J46,J46,revolute,0.00015332,0.023737,1.0591,-1.5814,1.4972,1.5601,base_link,0,0,-1,0,0,-0.7,0.7,,,,,,,,
head_rl_J47,-0.0019065,-0.01805,0.055037,0,0,0,0.73534,0.00071005,-8.8466E-07,8.7808E-07,0.00057552,2.3817E-06,0.00076921,0,0,0,0,0,0,package://zetax/meshes/head_rl_J47.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://zetax/meshes/head_rl_J47.STL,,Head^inmoovv1.21-1,Orign_J47,Axis_47,J47,revolute,-0.023825,-0.0022254,0,1.5708,1.5708,-1.5231,head_up_down_J46,0,0,-1,0,0,0,0,,,,,,,,
